20
100
200
1	24	31.000
1	80	66.000
1	100	52.000
1	2	44.000
2	69	42.000
2	84	6.000
2	35	29.000
3	82	29.000
3	100	36.000
3	35	58.000
3	47	71.000
4	76	64.000
4	38	46.000
4	34	33.000
4	20	73.000
5	30	64.000
5	9	62.000
5	43	50.000
5	19	14.000
6	36	50.000
6	9	71.000
6	98	41.000
6	54	18.000
7	61	61.000
7	62	11.000
7	84	66.000
7	44	74.000
8	20	30.000
8	52	53.000
8	39	64.000
8	36	14.000
9	54	57.000
9	39	68.000
10	30	13.000
10	85	42.000
10	66	95.000
10	63	20.000
11	61	33.000
11	46	41.000
11	100	13.000
11	77	32.000
12	43	44.000
12	35	46.000
12	83	85.000
12	22	39.000
13	21	67.000
13	63	78.000
13	75	60.000
13	41	17.000
14	95	53.000
14	100	25.000
14	74	47.000
14	85	24.000
15	36	35.000
15	93	28.000
15	79	58.000
15	25	35.000
16	98	67.000
16	43	57.000
16	94	9.000
16	84	55.000
17	28	76.000
17	86	61.000
17	65	78.000
17	98	75.000
18	43	35.000
18	78	43.000
18	91	66.000
18	25	56.000
19	78	66.000
19	94	27.000
19	38	4.000
20	59	74.000
20	80	72.000
21	45	10.000
21	70	69.000
21	67	21.000
22	39	24.000
22	68	9.000
22	44	81.000
23	62	79.000
23	78	63.000
23	66	56.000
23	53	23.000
24	78	38.000
24	31	34.000
24	80	37.000
25	34	25.000
25	41	49.000
26	67	30.000
26	29	13.000
26	92	8.000
26	55	29.000
27	67	28.000
27	79	85.000
27	75	29.000
27	51	20.000
28	63	69.000
28	75	49.000
28	69	11.000
29	92	13.000
29	88	11.000
29	97	13.000
30	93	67.000
30	95	61.000
31	66	54.000
31	99	21.000
31	32	35.000
32	94	89.000
32	59	52.000
32	80	94.000
33	74	60.000
33	91	77.000
33	63	33.000
33	95	73.000
34	54	28.000
34	75	24.000
35	36	16.000
37	44	83.000
37	68	27.000
37	83	88.000
37	70	80.000
38	87	55.000
38	45	39.000
39	62	62.000
40	73	19.000
40	94	85.000
40	61	58.000
40	42	51.000
41	69	13.000
41	49	9.000
42	87	45.000
42	79	55.000
42	61	21.000
44	53	53.000
45	59	30.000
45	55	15.000
46	67	30.000
46	97	26.000
46	83	19.000
47	77	57.000
47	95	60.000
47	81	37.000
48	56	78.000
48	91	31.000
48	72	87.000
48	55	65.000
49	86	37.000
49	56	63.000
49	76	47.000
50	53	33.000
50	85	47.000
50	96	30.000
50	77	12.000
51	97	24.000
51	87	51.000
51	62	66.000
52	93	5.000
52	79	76.000
52	57	53.000
53	70	54.000
54	64	41.000
55	76	36.000
56	71	8.000
56	70	87.000
57	64	18.000
57	72	14.000
57	96	62.000
58	82	76.000
58	89	60.000
58	96	66.000
58	83	51.000
59	91	77.000
60	84	51.000
60	76	10.000
60	86	66.000
60	65	53.000
64	93	41.000
64	69	62.000
65	82	62.000
65	66	49.000
68	88	31.000
68	90	57.000
71	97	20.000
71	82	15.000
71	73	66.000
72	99	73.000
72	81	63.000
73	74	37.000
73	98	15.000
74	81	30.000
77	92	27.000
81	99	10.000
85	99	77.000
86	90	43.000
87	89	56.000
88	96	51.000
88	90	66.000
89	92	22.000
89	90	68.000
